"Action(SiteID=US|Country=JP|Currency=USD|Version=745|CC=UTF-8)","ItemID","*StartPrice","ShippingProfileName"
"Revise","357358440216","54.98","DDP-C-P06"
"Revise","357358563233","58.98","DDP-C-P06"
"Revise","358381852914","45.98","DDP-C-P05"
"Revise","358382472412","186.98","DDP-C-P15"
"Revise","358388897815","40.98","DDP-C-P05"
"Revise","358389895642","72.98","DDP-C-P08"
"Revise","358390003755","40.98","DDP-C-P05"
"Revise","358390109249","45.98","DDP-C-P05"
"Revise","358275199203","155.98","DDP-C-P13"
"Revise","358276337811","149.98","DDP-C-P13"
"Revise","357849150249","99.98","DDP-C-P10"
"Revise","358278977272","399.98","DDP-C-P22"
"Revise","357401200653","37.98","DDP-C-P04"
"Revise","356876766464","44.98","DDP-C-P05"
"Revise","357448285020","37.98","DDP-C-P04"
"Revise","358214398953","56.98","DDP-C-P06"
"Revise","358560181003","49.98","DDP-C-P05"
"Revise","358560211221","49.98","DDP-C-P05"
"Revise","358560219778","49.98","DDP-C-P05"
"Revise","358560227465","49.98","DDP-C-P05"
"Revise","358560237149","49.98","DDP-C-P05"
"Revise","358560250231","49.98","DDP-C-P05"
"Revise","358560253798","49.98","DDP-C-P05"
"Revise","358560262232","49.98","DDP-C-P05"
"Revise","358560274204","49.98","DDP-C-P05"
"Revise","358561355817","45.98","DDP-C-P05"
"Revise","358561363038","45.98","DDP-C-P05"
"Revise","358561367838","45.98","DDP-C-P05"
"Revise","358561373545","45.98","DDP-C-P05"
"Revise","358561395342","45.98","DDP-C-P05"
"Revise","358561413793","45.98","DDP-C-P05"
"Revise","358561425877","45.98","DDP-C-P05"
"Revise","358561432366","45.98","DDP-C-P05"
"Revise","358561440634","45.98","DDP-C-P05"
"Revise","358561458579","45.98","DDP-C-P05"
"Revise","358561465127","45.98","DDP-C-P05"
"Revise","358561475371","45.98","DDP-C-P05"
"Revise","358561479986","40.98","DDP-C-P05"
"Revise","358459012221","42.98","DDP-C-P05"
"Revise","358466694676","64.98","DDP-C-P07"
"Revise","358359272940","45.98","DDP-C-P05"
"Revise","358359314884","45.98","DDP-C-P05"
"Revise","358359355028","45.98","DDP-C-P05"
"Revise","358359361455","45.98","DDP-C-P05"
"Revise","358359468302","45.98","DDP-C-P05"
"Revise","358359547093","45.98","DDP-C-P05"
"Revise","358359565422","40.98","DDP-C-P05"
"Revise","358359569072","40.98","DDP-C-P05"
"Revise","358359572733","45.98","DDP-C-P05"
"Revise","358359585353","45.98","DDP-C-P05"
"Revise","358364933713","45.98","DDP-C-P05"
"Revise","358364940197","40.98","DDP-C-P05"
"Revise","358364949065","45.98","DDP-C-P05"
"Revise","358364956131","45.98","DDP-C-P05"
"Revise","358589321321","49.98","DDP-C-P05"
"Revise","358589325206","49.98","DDP-C-P05"
"Revise","358589341204","49.98","DDP-C-P05"
