"*Action(SiteID=US|Country=JP|Currency=USD|Version=745|CC=UTF-8)","ItemID","ShippingProfileName","*StartPrice","BestOfferAutoAcceptPrice","MinimumBestOfferPrice"
"Revise","357358440216","DDP-C-P06","54.98","",""
"Revise","357358563233","DDP-C-P06","58.98","",""
"Revise","358381852914","DDP-C-P05","45.98","",""
"Revise","358382472412","DDP-C-P15","186.98","",""
"Revise","358388897815","DDP-C-P05","40.98","",""
"Revise","358389895642","DDP-C-P08","72.98","",""
"Revise","358390003755","DDP-C-P05","40.98","",""
"Revise","358390109249","DDP-C-P05","45.98","",""
"Revise","358275199203","DDP-C-P13","155.98","",""
"Revise","358276337811","DDP-C-P13","149.98","",""
"Revise","357849150249","DDP-C-P10","99.98","",""
"Revise","358278977272","DDP-C-P22","399.98","",""
"Revise","357401200653","DDP-C-P04","37.98","",""
"Revise","356876766464","DDP-C-P05","44.98","",""
"Revise","357448285020","DDP-C-P04","37.98","",""
"Revise","358214398953","DDP-C-P06","56.98","",""
"Revise","358560181003","DDP-C-P05","49.98","",""
"Revise","358560211221","DDP-C-P05","49.98","",""
"Revise","358560219778","DDP-C-P05","49.98","",""
"Revise","358560227465","DDP-C-P05","49.98","",""
"Revise","358560237149","DDP-C-P05","49.98","",""
"Revise","358560250231","DDP-C-P05","49.98","",""
"Revise","358560253798","DDP-C-P05","49.98","",""
"Revise","358560262232","DDP-C-P05","49.98","",""
"Revise","358560274204","DDP-C-P05","49.98","",""
"Revise","358561355817","DDP-C-P05","45.98","",""
"Revise","358561363038","DDP-C-P05","45.98","",""
"Revise","358561367838","DDP-C-P05","45.98","",""
"Revise","358561373545","DDP-C-P05","45.98","",""
"Revise","358561395342","DDP-C-P05","45.98","",""
"Revise","358561413793","DDP-C-P05","45.98","",""
"Revise","358561425877","DDP-C-P05","45.98","",""
"Revise","358561432366","DDP-C-P05","45.98","",""
"Revise","358561440634","DDP-C-P05","45.98","",""
"Revise","358561458579","DDP-C-P05","45.98","",""
"Revise","358561465127","DDP-C-P05","45.98","",""
"Revise","358561475371","DDP-C-P05","45.98","",""
"Revise","358561479986","DDP-C-P05","40.98","",""
"Revise","358459012221","DDP-C-P05","42.98","",""
"Revise","358466694676","DDP-C-P07","64.98","",""
"Revise","358359272940","DDP-C-P05","45.98","",""
"Revise","358359314884","DDP-C-P05","45.98","",""
"Revise","358359355028","DDP-C-P05","45.98","",""
"Revise","358359361455","DDP-C-P05","45.98","",""
"Revise","358359468302","DDP-C-P05","45.98","",""
"Revise","358359547093","DDP-C-P05","45.98","",""
"Revise","358359565422","DDP-C-P05","40.98","",""
"Revise","358359569072","DDP-C-P05","40.98","",""
"Revise","358359572733","DDP-C-P05","45.98","",""
"Revise","358359585353","DDP-C-P05","45.98","",""
"Revise","358364933713","DDP-C-P05","45.98","",""
"Revise","358364940197","DDP-C-P05","40.98","",""
"Revise","358364949065","DDP-C-P05","45.98","",""
"Revise","358364956131","DDP-C-P05","45.98","",""
"Revise","358589321321","DDP-C-P05","49.98","",""
"Revise","358589325206","DDP-C-P05","49.98","",""
"Revise","358589341204","DDP-C-P05","49.98","",""
